Age,EstimatedSalary,Purchased
33,51000,0
41,72000,0
35,55000,0
48,33000,1
58,101000,1
59,143000,1
45,45000,1
55,39000,1
27,58000,0
41,80000,0
47,23000,1
36,50000,0
40,59000,0
45,26000,1
53,72000,1
26,15000,0
41,87000,1
54,26000,1
40,57000,0
47,51000,1
52,21000,1
28,84000,0
47,107000,1
39,71000,0
42,80000,0
49,28000,1
47,49000,1
32,117000,1
48,119000,1
27,90000,0
23,20000,0
37,62000,0
25,33000,0
41,79000,0
24,19000,0
47,34000,1
32,120000,1
30,62000,0
28,89000,0
19,85000,0
39,77000,0
37,80000,0
42,80000,1
24,89000,0
35,75000,0
34,72000,0
34,115000,0
22,27000,0
33,28000,0
33,41000,0
27,57000,0
42,53000,0
50,44000,0
37,78000,1
32,18000,0
25,22000,0
40,75000,0
26,15000,0
44,39000,0
35,27000,0
60,42000,1
39,59000,0
51,146000,1
42,54000,0
35,57000,0
45,22000,1
23,28000,0
28,32000,0
37,137000,1
24,55000,0
60,42000,1
55,130000,1
48,74000,1
28,123000,1
26,80000,0
36,125000,1
30,49000,0
31,18000,0
35,20000,0
59,29000,1
18,82000,0
39,42000,0
41,51000,0
20,74000,0
