Age,EstimatedSalary,Purchased
34,43000,0
34,112000,1
39,73000,0
29,47000,0
45,45000,1
58,23000,1
56,133000,1
33,41000,0
29,43000,0
38,55000,0
41,72000,0
35,38000,0
35,72000,0
24,55000,0
27,58000,0
42,75000,0
26,43000,0 
26,86000,0
20,36000,0
40,107000,1
30,80000,0
38,50000,0
24,84000,0
51,146000,1
31,66000,0
28,44000,0
26,32000,0
37,80000,0
35,73000,0
27,90000,0
41,87000,1
49,89000,1
29,28000,0
59,88000,1
42,108000,1
37,72000,0
49,39000,1
35,55000,0
29,75000,0
31,76000,0
41,60000,0
57,26000,1
30,107000,1
38,113000,1
36,126000,1
50,36000,1
52,21000,1
22,27000,0
30,116000,0
60,34000,1
35,88000,0
39,42000,0
37,52000,0
42,80000,1
48,33000,1
48,96000,1
40,47000,0
35,53000,0
30,17000,0
39,134000,1
60,42000,1
41,80000,0
36,52000,0
32,117000,1
18,68000,0
46,117000,1
46,32000,1
40,78000,0
34,115000,0
37,80000,0
30,62000,0
24,55000,0
39,71000,0
33,51000,0
46,82000,0
36,50000,0
54,70000,1
24,89000,0
26,15000,0
37,57000,0
28,87000,0
60,42000,1
32,18000,0
32,100000,1
