Age,EstimatedSalary,Purchased
25,80000,0
27,54000,0
59,130000,1
23,48000,0
28,84000,0 
40,57000,0
26,16000,0
51,134000,0
37,72000,0
44,39000,0
60,83000,1
47,50000,1
29,61000,0
23,82000,0
57,33000,1
35,77000,0
31,74000,0
27,58000,0
54,26000,1
36,33000,0
24,89000,0
57,60000,1
47,20000,1
48,90000,1
35,44000,0
20,82000,0
40,61000,0
39,61000,0
48,138000,1
44,139000,1
40,65000,0
26,15000,0
27,89000,0
35,55000,0
24,27000,0
32,117000,0
42,70000,0
52,150000,1
26,35000,0
31,118000,1
60,42000,1
38,71000,0
55,130000,1
35,27000,0
58,95000,1
18,68000,0
33,69000,0
45,79000,0
50,88000,1
35,91000,1
53,72000,1
58,23000,1
23,63000,0
30,116000,0
60,102000,1
27,96000,1
35,88000,0
31,68000,0
48,96000,1
19,25000,0
47,23000,1
35,38000,0
50,20000,1
43,133000,0
26,80000,0
37,146000,1
27,137000,1
32,150000,1
32,120000,1
37,52000,0
49,39000,1
36,75000,0
49,88000,1
31,76000,0
29,83000,0
25,33000,0
56,133000,1
39,59000,0
46,79000,1
22,27000,0
28,59000,0
24,19000,0
36,99000,1
41,60000,0
