Age,EstimatedSalary,Purchased
25,22000,0
35,55000,0
58,38000,1
52,114000,0
30,62000,0
30,15000,0
32,150000,1
39,134000,1
59,42000,0
28,84000,0
46,23000,1
42,54000,0
55,125000,1
28,79000,0
18,86000,0
51,146000,1
60,102000,1
40,47000,0
35,108000,0
36,52000,0
28,89000,0
25,87000,0
52,90000,1
42,108000,1
40,61000,0
29,148000,1
47,144000,1
37,79000,1
53,104000,1
42,80000,0
37,62000,0
31,58000,0
37,33000,0
32,117000,1
35,60000,0
33,113000,0
46,32000,1
49,141000,1
27,58000,0
19,25000,0
31,15000,0
27,88000,0
26,16000,0
32,18000,0
30,79000,0
50,20000,1
36,99000,1
55,39000,1
49,28000,1
20,36000,0
35,71000,0
33,31000,0
35,20000,0
37,71000,0
35,91000,1
36,63000,0
21,88000,0
36,118000,1
59,143000,1
51,134000,0
20,86000,0
24,55000,0
39,42000,0
37,80000,0
21,16000,0
24,19000,0
30,135000,1
27,57000,0
41,51000,0
38,65000,0
37,137000,1
50,88000,1
41,72000,0
47,34000,1
40,72000,0
46,117000,1
37,146000,1
52,38000,1
31,74000,0
38,50000,0
57,33000,1
48,29000,1
40,71000,1
20,82000,0
