Age,EstimatedSalary,Purchased
45,131000,1
25,90000,0
40,75000,0
21,88000,0
23,66000,0
20,86000,0
39,71000,0
37,53000,0
53,82000,1
60,83000,1
45,22000,1
49,86000,1
38,71000,0
21,68000,0
46,23000,1
34,112000,1
35,44000,0
37,75000,0
24,55000,0
55,125000,1
41,45000,0
30,135000,1
39,96000,1
60,42000,1
46,82000,0
51,134000,0
36,144000,1
34,72000,0
41,52000,0
26,86000,0
42,54000,0
44,39000,0
35,73000,0
32,86000,0
42,70000,0
41,52000,0
46,117000,1
36,60000,0
24,84000,0
45,22000,1
37,77000,0
35,77000,0
24,55000,0
21,72000,0
20,23000,0
25,33000,0
48,29000,1
52,90000,1
40,60000,0
29,75000,0
31,76000,0
37,146000,1
48,131000,1
38,65000,0
52,38000,1
41,51000,0
18,44000,0
38,55000,0
35,55000,0
29,148000,1
45,32000,1
20,82000,0
22,63000,0
50,88000,1
53,72000,1
41,87000,1
35,25000,0
32,18000,0
55,39000,1
40,57000,0
42,79000,0
48,138000,1
35,57000,0
34,25000,0
38,50000,0
35,60000,0
39,134000,1
41,60000,0
60,46000,1
35,50000,0
38,113000,1
56,104000,1
48,96000,1
33,69000,0
