Age,EstimatedSalary,Purchased
28,79000,0
27,88000,0
28,89000,0
26,30000,0
44,39000,0
40,61000,0
27,58000,0
31,71000,0
35,50000,0
41,30000,0
26,35000,0
21,88000,0
45,45000,1
58,101000,1
26,52000,0
56,60000,1
35,38000,0
26,84000,0
28,87000,0
48,119000,1
23,48000,0
58,38000,1
31,89000,0
47,43000,0
20,74000,0
47,51000,1
48,30000,1
60,102000,1
32,135000,1
39,71000,0
57,74000,1
35,59000,0
28,37000,0
25,87000,0
34,112000,1
20,82000,0
35,27000,0
54,104000,1
23,82000,0
24,55000,0
32,18000,0
36,126000,1
50,88000,1
37,75000,0
31,74000,0
18,68000,0
35,53000,0
32,100000,1
46,96000,0
48,29000,1
42,54000,0
32,117000,0
33,41000,0
53,34000,1
28,85000,0
26,32000,0
40,57000,0
42,75000,0
33,28000,0
42,73000,1
47,49000,1
24,23000,0
28,44000,0
23,20000,0
26,15000,0
35,22000,0
37,55000,0
37,52000,0
40,107000,1
35,75000,0
45,22000,1
37,93000,1
29,83000,0
30,135000,1
41,80000,0
31,15000,0
35,58000,0
37,33000,0
27,17000,0
42,65000,0
33,31000,0
50,20000,1
38,112000,0
29,75000,0
