Age,EstimatedSalary,Purchased
26,72000,0
31,71000,0
32,120000,1
34,112000,1
18,68000,0
24,19000,0
57,26000,1
43,112000,1
19,19000,0
41,63000,0
32,100000,1
29,28000,0
35,75000,0
47,25000,1
23,20000,0
51,23000,1
37,137000,1
47,47000,0
37,93000,1
40,75000,0
60,102000,1
27,84000,0
28,37000,0
48,141000,0
40,142000,1
49,28000,1
27,89000,0
46,28000,1
41,52000,0
27,54000,0
28,84000,0
23,82000,0
21,16000,0
40,72000,0
50,20000,1
37,72000,0
39,59000,0
58,101000,1
37,75000,0
48,96000,1
19,85000,0
41,45000,0
42,79000,0
49,28000,1
29,47000,0
26,30000,0
38,65000,0
29,83000,0
37,70000,1
47,49000,1
25,87000,0
47,50000,1
39,71000,0
44,139000,1
57,74000,1
60,108000,1
49,65000,0
41,51000,0
35,79000,0
35,44000,0
33,28000,0
47,34000,1
28,59000,0
25,90000,0
43,129000,1
35,50000,0
51,146000,1
41,72000,0
56,60000,1
27,57000,0
57,122000,1
39,75000,1
32,117000,1
27,58000,0
48,74000,1
29,61000,0
52,90000,1
24,32000,0
42,149000,1
42,54000,0
23,63000,0
41,30000,0
38,50000,0
29,43000,0
