registered,cnt
4,7
5,9
278,289
235,389
11,14
13,16
245,336
173,177
64,71
61,78
358,460
54,56
73,75
111,116
53,61
730,760
78,130
33,44
8,8
179,236
391,423
64,73
159,184
126,187
40,42
221,225
30,43
129,159
262,290
17,18
7,8
169,292
111,134
155,161
209,251
233,285
348,423
193,217
97,144
54,56
97,128
542,565
27,27
107,169
223,300
214,304
527,591
4,4
202,290
109,115
170,238
57,76
117,155
26,31
7,11
46,53
48,51
90,93
60,68
4,6
876,953
99,117
175,263
335,370
74,87
100,140
115,119
137,154
529,545
69,108
10,10
112,157
151,183
58,58
128,196
183,322
4,4
139,168
638,687
165,229
78,86
101,141
95,107
6,9
10,15
154,160
358,440
5,5
5,6
467,552
384,439
1,1
116,138
102,107
18,18
217,272
5,5
599,664
147,187
746,790
72,94
96,98
3,3
202,322
7,7
428,453
94,96
20,20
31,33
108,110
199,283
68,89
734,868
93,138
278,356
3,4
271,430
347,383
228,375
54,58
264,441
247,369
280,394
59,70
85,140
8,12
139,198
696,745
193,235
132,147
6,9
111,138
173,236
137,162
6,6
118,126
125,176
49,50
24,25
324,504
214,258
11,21
47,63
91,93
233,290
88,91
33,34
174,224
94,104
59,61
168,185
101,135
150,163
5,6
102,168
234,333
22,27
121,160
116,148
488,516
144,175
112,128
514,527
161,181
1,2
505,568
0,2
381,398
167,245
58,73
241,277
1,2
48,68
94,106
58,87
230,358
1,1
53,56
246,296
21,22
2,2
15,22
219,266
109,119
151,230
21,21
211,343
51,59
76,90
62,80
173,191
167,207
362,378
82,106
4,6
9,10
217,308
370,410
103,143
42,48
95,98
395,416
173,206
4,5
295,479
533,549
152,161
114,118
101,113
212,224
399,470
143,164
362,377
5,5
127,146
229,339
145,170
5,11
241,280
116,124
213,284
1,2
230,378
41,48
15,19
116,137
316,435
702,750
125,229
269,277
127,174
65,73
313,347
74,85
27,39
115,175
107,112
268,322
6,6
2,2
369,595
155,204
46,47
236,332
12,14
66,77
124,135
287,404
36,39
128,184
876,963
117,144
97,141
282,407
87,97
480,566
68,96
141,168
113,154
115,126
139,175
32,32
367,463
23,29
169,181
63,65
163,275
94,134
3,3
17,17
184,198
116,147
61,78
34,37
161,212
22,25
118,185
38,56
218,306
108,151
42,51
154,203
504,515
418,447
55,68
97,103
83,85
8,10
339,560
187,287
121,123
213,357
260,398
463,527
176,199
152,217
148,170
61,73
26,26
28,29
305,543
296,459
20,24
529,612
418,433
3,3
170,305
665,801
126,152
77,98
8,8
421,457
27,32
573,671
7,7
206,233
6,6
25,31
142,160
240,297
130,172
25,26
216,249
134,174
249,262
232,278
56,60
243,332
33,38
23,36
252,361
223,236
251,269
68,83
265,299
447,474
223,420
268,452
78,79
14,19
489,520
104,115
112,176
143,159
39,49
18,23
9,10
129,189
98,108
32,35
304,447
8,11
95,110
225,334
7,12
170,223
8,10
242,256
6,6
107,180
79,108
8,8
5,6
122,143
19,22
58,81
14,16
319,453
100,119
14,16
217,385
142,171
35,36
184,286
109,121
140,188
2,2
3,3
410,492
287,425
148,199
38,45
235,350
81,136
49,56
10,17
93,110
235,283
129,209
163,197
326,384
198,239
61,80
104,110
150,155
167,268
47,78
151,176
5,5
298,411
375,406
1,1
245,282
131,150
156,192
72,76
14,15
36,41
440,505
233,244
133,180
616,681
37,50
263,332
4,4
150,188
604,624
55,68
32,36
44,51
86,114
348,534
377,434
159,184
3,3
222,244
246,333
181,313
4,4
373,491
42,43
271,287
209,373
115,141
47,49
302,392
212,357
23,25
7,8
271,326
364,443
143,195
263,290
5,6
452,473
3,3
269,354
74,76
5,5
469,586
16,17
30,30
11,12
449,474
390,637
3,3
27,37
234,308
79,101
433,508
33,53
3,5
99,122
32,32
63,65
159,169
93,125
786,878
65,70
9,13
180,207
296,337
3,3
262,296
3,3
16,17
237,352
120,122
6,7
166,203
1,1
58,58
47,50
4,5
6,6
668,693
93,93
142,169
329,532
68,73
469,536
45,52
127,196
11,12
1,4
387,404
26,27
430,503
86,99
25,30
39,42
194,210
1,3
88,107
118,140
514,550
17,21
13,14
99,104
659,692
100,184
16,17
245,373
65,95
5,5
218,377
34,39
153,218
210,235
24,39
49,52
97,134
66,70
96,120
58,60
216,277
9,10
42,45
157,240
734,812
14,14
195,435
52,62
82,93
259,458
269,570
268,357
94,99
122,166
241,251
87,123
83,87
132,163
106,112
57,86
207,210
6,10
79,106
726,820
5,5
17,19
22,24
605,634
81,88
35,36
63,73
37,48
8,10
299,381
188,211
211,316
28,42
434,456
789,901
212,251
340,419
133,160
124,182
105,115
397,525
567,581
206,243
594,674
473,533
53,60
104,116
664,691
147,167
146,148
88,142
326,341
381,414
6,7
253,414
334,337
171,289
128,136
499,540
9,12
338,472
44,56
100,131
242,272
145,182
142,220
37,52
56,63
211,273
5,5
11,12
7,9
215,286
32,41
93,140
8,11
82,117
392,422
1,2
32,35
111,114
435,481
307,424
191,203
72,92
48,50
78,91
132,165
244,390
8,19
369,455
14,14
699,810
9,9
10,10
21,26
69,103
