registered,cnt
121,126
260,295
187,213
109,120
6,14
179,339
231,291
208,222
7,12
245,416
444,464
219,245
128,146
278,434
224,258
1,1
5,5
175,235
245,253
14,15
2,2
55,57
53,63
202,270
428,486
88,106
13,26
82,117
124,154
262,308
78,106
16,21
568,588
112,113
191,229
39,46
333,353
221,263
170,240
158,171
132,194
3,4
178,198
818,905
1,4
14,16
288,312
4,4
109,130
136,165
115,118
65,72
185,193
489,569
124,184
97,100
47,50
67,72
2,2
17,23
104,140
232,288
54,77
17,18
133,137
131,164
170,181
86,98
142,175
258,319
186,262
247,332
88,97
24,25
49,57
41,41
239,513
107,181
14,17
168,187
3,4
41,50
25,28
5,6
378,398
234,267
103,149
108,145
53,55
45,54
61,79
2,2
4,4
239,278
2,2
205,313
6,6
231,371
97,126
60,62
1,1
110,123
158,207
165,196
6,7
15,20
73,113
115,137
7,7
60,64
109,110
219,320
18,33
3,5
128,169
94,168
34,44
30,42
3,9
259,286
125,178
364,391
464,555
33,46
70,93
21,24
4,8
151,190
226,231
296,445
169,209
184,227
142,196
70,71
373,638
225,283
55,71
94,95
398,459
1,3
167,185
151,196
258,381
553,625
43,59
26,31
272,351
81,182
181,243
256,274
239,368
11,16
64,66
133,185
214,235
115,123
122,124
273,356
134,138
107,148
396,441
1,1
487,547
27,35
70,80
9,22
393,484
148,157
13,13
238,296
82,104
5,5
172,176
114,177
260,375
52,52
124,202
133,174
191,245
409,591
142,263
354,424
107,128
2,2
103,129
137,154
410,483
64,69
24,32
40,57
150,175
145,189
337,512
435,670
6,6
368,379
115,128
313,380
119,126
356,419
286,336
122,138
30,34
210,240
28,28
37,49
361,387
12,16
8,8
194,223
233,263
154,172
49,52
6,7
144,166
29,30
100,108
56,58
6,8
324,603
37,42
425,456
58,64
213,251
36,47
134,196
158,161
9,18
161,190
3,5
9,24
47,51
9,9
60,70
63,79
231,314
240,292
9,11
116,120
67,69
136,165
160,195
464,567
321,339
62,69
170,192
263,297
39,56
161,188
204,239
384,487
184,191
136,230
52,64
443,750
174,249
13,13
508,518
502,535
8,10
220,243
81,96
465,478
40,42
7,8
4,4
3,3
775,869
112,112
267,325
74,89
2,2
54,57
58,66
2,2
260,310
148,203
8,13
188,234
22,23
13,14
3,3
215,325
292,301
153,176
667,769
164,197
197,213
193,317
266,483
159,224
1,1
252,294
114,123
198,205
222,301
90,113
144,167
30,63
737,759
131,140
113,154
316,325
5,6
46,82
23,25
22,28
29,37
397,410
113,157
9,10
122,169
5,8
5,6
294,332
595,642
64,82
188,225
44,46
351,569
345,452
211,217
2,2
50,55
74,95
246,312
