registered,cnt
62,63
5,5
94,134
35,41
570,669
2,3
17,19
88,113
151,185
399,627
214,239
90,90
168,176
190,234
86,103
4,5
116,181
50,56
141,155
37,42
161,222
356,406
0,1
369,375
200,248
454,694
163,198
25,31
240,315
22,30
271,310
94,104
177,208
200,313
871,938
117,186
169,220
52,62
53,63
26,50
242,316
184,263
51,80
4,6
367,531
25,28
27,39
17,23
121,136
26,28
461,476
7,11
231,347
50,70
1,1
260,463
172,177
219,245
75,89
152,170
164,199
77,83
176,363
500,556
74,117
259,332
39,44
7,8
4,6
89,91
233,285
12,12
9,9
677,715
121,166
230,293
88,91
670,688
121,163
65,74
81,95
92,92
95,151
186,203
90,107
92,116
146,232
49,67
121,153
5,6
29,35
137,149
196,272
2,2
48,60
11,12
176,231
294,459
110,130
339,354
5,5
170,200
4,8
279,487
89,108
171,260
245,273
430,469
283,299
198,242
8,23
8,12
133,148
30,31
156,187
56,66
303,319
8,11
1,2
137,156
36,39
139,191
150,177
170,237
81,110
3,5
184,187
288,643
533,549
34,35
34,37
112,157
96,120
27,33
177,253
105,109
35,46
16,16
9,10
229,276
63,68
8,9
232,288
203,231
157,217
130,145
61,85
224,229
12,12
180,319
111,163
115,118
266,272
424,500
20,28
166,202
40,41
206,279
197,225
9,11
426,480
27,40
2,4
178,241
68,69
58,65
46,58
30,36
520,537
206,222
2,7
4,6
505,520
767,838
83,115
144,185
87,114
196,216
113,136
112,139
234,329
40,43
391,441
39,39
30,34
365,522
139,183
104,123
138,166
167,204
6,6
4,4
136,182
31,34
20,23
29,30
39,54
4,5
67,68
189,230
157,204
220,241
413,430
332,546
19,22
514,534
118,159
207,272
37,50
38,42
460,558
187,354
8,9
256,314
10,10
142,171
96,120
341,539
56,70
80,106
299,412
38,39
144,312
51,69
83,97
134,176
220,250
79,80
35,35
361,374
176,189
11,15
16,23
149,190
366,642
9,12
117,129
19,19
68,89
155,191
87,100
244,420
53,57
8,12
268,567
299,321
133,281
247,283
23,35
508,539
121,138
486,502
487,565
35,39
99,126
80,101
49,50
177,215
694,743
156,211
1,2
2,2
45,86
82,104
208,306
112,128
128,135
21,22
16,20
2,2
223,273
176,240
24,28
225,230
169,211
450,473
20,20
122,166
174,187
95,103
289,308
276,381
27,32
67,93
211,284
171,182
107,112
119,150
506,552
53,59
34,36
511,555
102,120
16,16
252,282
51,60
4,6
42,45
168,185
125,136
109,129
72,88
313,380
362,496
456,520
289,356
58,59
310,401
161,225
13,15
10,10
33,41
3,4
159,183
87,89
34,36
47,52
150,168
147,149
209,260
62,72
35,41
29,29
188,242
354,402
6,7
66,70
49,55
1,1
121,122
156,212
398,459
94,121
148,174
70,88
140,283
5,10
111,115
40,45
354,362
242,321
16,24
1,1
368,379
12,15
58,70
370,618
375,406
97,120
107,112
4,21
107,133
69,76
231,270
130,158
4,4
151,177
152,236
118,124
17,20
2,2
61,69
783,913
48,61
22,25
145,239
192,338
44,48
158,159
2,2
49,52
122,158
154,227
66,72
471,482
53,69
5,6
176,194
21,25
7,7
104,148
404,421
265,313
23,26
138,180
232,362
88,98
18,24
93,116
409,426
103,129
188,248
240,321
232,241
95,109
20,22
6,7
80,92
96,228
72,90
116,124
152,199
639,687
175,243
703,740
37,39
212,224
73,81
199,224
311,381
546,569
168,190
201,282
350,370
112,131
92,95
543,567
101,113
7,13
319,359
170,221
233,284
72,111
30,31
4,4
3,3
576,624
583,601
2,2
220,234
8,11
181,212
187,276
118,167
149,201
292,525
23,24
243,455
219,266
7,10
32,43
491,507
39,46
264,304
103,105
132,156
293,299
11,15
5,6
90,110
96,120
187,318
228,349
2,2
101,106
95,97
39,57
307,543
86,125
178,195
18,21
665,747
111,142
1,1
92,94
115,151
274,283
36,36
213,293
228,294
332,482
262,430
133,140
5,6
54,83
32,40
43,50
30,32
130,181
70,73
203,263
137,139
135,139
322,391
135,167
48,56
142,263
338,690
6,6
114,118
76,79
21,25
223,338
8,11
163,195
36,43
386,479
11,11
108,110
178,184
53,68
6,8
377,434
232,333
18,18
745,839
252,265
374,431
98,153
379,453
167,188
9,13
429,455
115,121
2,2
21,22
161,172
216,452
20,20
300,389
48,64
2,2
13,15
97,117
135,154
645,744
5,6
86,130
65,82
108,117
153,203
73,74
78,113
642,750
77,99
25,25
141,161
384,412
277,461
247,280
15,22
304,390
312,343
120,136
175,364
3,3
68,73
57,73
95,103
3,3
49,56
344,400
130,138
445,513
122,229
30,32
112,119
145,310
167,236
30,34
3,3
276,314
21,22
61,87
151,241
122,198
229,314
123,146
7,7
347,358
347,403
208,221
6,10
530,585
175,243
134,163
68,69
98,98
29,29
5,5
100,121
161,226
357,547
86,102
222,288
582,592
120,156
31,31
6,7
8,9
488,508
447,474
214,341
6,8
161,188
171,221
230,300
238,268
67,78
181,219
179,339
282,407
57,74
62,72
164,183
43,56
121,153
709,812
146,183
151,231
152,260
36,36
111,199
203,236
436,504
260,398
54,59
20,27
441,714
243,504
223,324
316,511
18,21
111,136
345,353
385,441
43,45
177,184
105,121
8,11
125,229
92,96
175,235
240,343
324,422
48,55
85,142
49,49
155,190
19,20
80,107
3,3
177,191
176,380
15,18
96,121
70,96
59,71
240,320
61,73
240,280
4,4
2,3
85,116
63,71
2,2
231,235
136,190
2,3
70,71
195,209
18,20
89,153
30,34
47,67
57,60
84,93
474,694
27,33
291,506
65,96
103,156
232,261
227,253
147,169
195,235
235,312
150,182
162,252
181,423
109,123
230,547
87,90
65,74
4,8
415,454
258,381
87,89
250,284
7,7
12,43
10,11
219,245
790,872
40,50
3,5
20,30
46,46
8,14
220,238
5,6
24,26
220,261
17,19
69,75
573,671
184,259
249,304
346,354
7,9
365,473
157,231
23,38
228,317
144,178
206,209
38,39
12,17
20,22
233,300
6,9
9,10
12,14
15,25
115,165
239,254
216,362
218,238
