registered,cnt
292,351
183,187
675,770
40,53
92,95
299,439
265,289
20,20
7,7
7,14
105,117
32,36
201,241
1,1
224,251
627,779
32,34
1,1
8,14
183,247
223,273
10,17
168,223
77,86
28,33
183,205
89,112
746,796
405,415
21,39
229,331
64,89
4,4
8,12
2,2
151,172
41,51
16,23
89,128
44,51
116,136
134,156
305,543
653,702
78,98
640,666
193,283
20,22
129,178
332,546
3,3
4,8
85,123
56,64
153,244
134,188
368,438
65,92
169,224
94,143
23,23
85,96
34,38
37,37
166,185
254,264
116,156
129,147
591,672
143,189
110,119
87,97
35,46
230,270
120,129
251,256
3,6
41,66
265,275
173,203
223,342
32,47
126,132
264,278
180,218
118,126
428,479
97,114
270,301
125,154
55,57
216,362
6,6
214,301
166,181
171,232
35,36
56,58
56,62
69,72
9,14
323,428
4,11
103,156
111,125
224,324
292,302
88,106
60,66
91,102
45,71
111,133
327,491
320,335
9,10
223,324
89,95
92,96
349,416
58,63
166,187
41,41
147,168
5,11
15,18
510,513
69,73
1,2
71,71
227,465
170,203
90,127
25,26
14,20
25,43
99,126
67,88
101,116
51,59
7,9
82,83
140,174
22,29
4,4
29,32
256,328
48,61
318,501
237,290
133,155
239,277
222,250
13,15
158,163
494,509
58,87
62,69
7,8
50,56
201,388
23,28
61,73
17,20
458,467
175,201
5,7
3,7
254,276
204,279
5,13
51,65
106,196
31,39
133,146
3,4
48,53
243,400
4,6
297,348
96,99
90,90
85,85
86,86
132,137
156,189
515,597
4,6
219,414
26,27
236,308
8,11
4,6
187,195
86,115
59,66
25,26
67,71
5,14
261,348
174,191
230,412
27,35
27,29
112,150
262,359
10,12
113,154
347,358
24,24
34,42
3,3
35,43
196,232
28,28
239,301
86,114
92,125
209,248
117,132
7,7
119,193
114,118
5,7
291,452
27,30
96,162
111,133
30,34
209,239
21,24
83,92
524,614
5,5
681,767
257,277
177,238
9,12
529,653
19,23
63,70
369,479
283,313
100,111
3,4
2,3
79,98
239,257
193,211
5,5
205,243
164,232
362,416
181,237
2,2
107,160
4,4
106,129
192,322
19,36
39,46
20,20
8,10
149,171
264,304
387,404
257,354
12,16
95,102
209,300
211,222
175,200
29,34
5,19
118,126
72,91
194,225
161,192
34,38
647,791
194,245
32,33
282,301
450,760
163,182
9,12
20,36
191,276
124,202
218,268
245,373
96,164
223,233
191,225
5,6
3,6
41,54
269,303
10,12
219,248
232,278
19,21
69,74
195,251
142,161
161,188
15,19
139,144
199,216
213,306
9,10
88,107
558,677
146,259
40,41
83,90
241,330
15,24
393,446
115,154
239,257
368,565
282,407
98,110
150,175
492,560
100,138
50,55
8,8
15,18
338,350
399,627
95,114
175,203
206,285
257,281
132,165
250,363
96,166
199,220
10,11
206,265
30,47
430,469
4,5
162,218
269,330
254,399
31,44
297,395
163,230
26,28
73,90
4,5
71,85
370,678
198,239
48,48
4,4
140,173
15,21
60,82
253,286
39,39
68,89
151,241
74,86
29,42
26,26
8,9
