registered,cnt
241,251
308,345
329,413
188,260
503,529
65,88
263,342
44,48
14,18
167,264
134,139
237,387
111,114
531,552
36,42
2,3
665,801
114,134
108,122
197,219
603,678
9,9
472,586
134,176
703,744
163,202
233,285
160,172
192,338
82,103
43,47
184,242
231,347
81,90
81,128
167,226
714,734
293,373
36,47
40,47
197,241
150,163
137,225
180,273
241,258
180,263
217,308
121,135
36,40
342,557
0,1
14,15
173,408
9,12
6,7
163,195
8,14
128,194
69,78
116,137
67,80
19,20
51,91
120,163
351,435
553,625
9,10
15,19
273,284
171,181
232,345
185,192
27,29
7,9
1,1
7,7
12,22
68,85
9,9
147,192
7,7
456,520
85,92
152,218
1,2
194,205
7,7
242,316
146,214
246,312
187,264
24,37
198,242
289,417
53,69
147,151
240,276
127,151
110,117
64,75
186,256
277,307
96,122
223,251
140,151
143,222
184,224
142,180
118,127
89,106
142,184
41,58
225,325
102,121
130,179
112,121
35,36
362,428
409,418
182,239
183,281
7,14
29,32
256,437
53,54
11,16
46,64
35,36
14,17
70,76
188,212
11,16
29,40
56,63
210,268
81,91
764,805
133,187
376,446
210,296
49,54
8,12
280,296
126,128
176,179
215,311
196,221
52,65
506,610
2,2
12,18
70,88
77,83
150,189
239,370
8,23
82,106
102,139
46,52
189,263
27,33
112,157
6,6
3,3
22,30
70,86
42,45
102,111
262,296
78,98
277,444
15,18
171,225
3,4
6,9
41,60
26,27
134,174
14,18
204,251
85,85
264,333
720,788
668,693
216,227
208,358
90,108
40,43
608,639
757,854
280,382
191,259
142,161
131,178
70,71
93,116
208,221
128,138
69,81
170,196
225,251
104,118
623,712
5,8
309,322
32,46
123,157
532,629
573,585
7,7
225,277
214,299
7,8
191,305
242,351
31,32
27,27
260,434
130,201
81,103
86,141
27,38
41,54
40,40
235,392
52,62
6,7
98,137
259,457
9,12
118,130
81,99
105,108
146,259
16,16
5,5
22,24
56,58
93,120
116,143
291,395
135,151
30,46
239,374
1,1
2,3
67,73
692,725
279,411
161,170
195,324
660,713
4,8
351,617
13,17
44,53
123,134
241,288
13,14
151,196
439,675
409,427
110,130
757,894
4,5
65,82
102,132
368,401
2,4
292,367
5,6
70,76
185,202
2,2
6,7
10,12
54,83
243,318
51,59
209,257
224,257
312,403
589,627
33,44
92,154
153,203
351,558
3,5
