registered,cnt
109,116
67,88
181,194
227,326
245,283
289,317
61,79
184,191
62,72
82,87
244,286
19,20
179,228
65,92
59,91
3,4
218,259
215,286
5,6
98,104
64,82
185,204
138,162
362,378
91,122
489,500
494,509
128,170
5,5
66,83
96,128
124,163
223,233
63,64
336,376
300,374
2,3
56,56
2,5
207,335
44,46
277,352
116,129
43,60
112,120
159,268
94,103
11,20
228,254
7,12
314,457
49,70
726,815
95,114
260,274
65,72
426,480
579,596
77,130
272,440
295,409
579,594
178,266
193,306
129,139
233,285
270,275
342,515
543,567
313,367
121,138
116,143
235,241
198,229
22,26
69,69
2,2
115,168
73,90
176,190
253,462
273,464
167,173
280,461
274,285
289,377
154,251
314,469
580,632
274,302
623,636
102,135
211,285
5,7
278,296
294,330
86,95
273,492
140,193
5,5
22,22
11,12
95,114
47,69
132,224
12,12
53,62
337,521
114,167
239,240
4,11
5,5
300,337
235,369
60,65
344,356
520,537
80,106
183,274
106,131
524,591
71,87
50,60
32,32
138,166
74,83
7,11
19,22
91,118
117,132
31,31
222,240
141,177
109,112
3,3
235,289
45,61
5,6
179,270
156,168
82,146
140,174
111,169
177,264
6,6
171,224
95,105
15,16
12,18
218,306
148,170
196,221
249,256
18,37
186,238
208,457
128,134
565,614
363,446
247,270
80,113
338,586
260,391
66,68
90,110
45,45
4,8
6,10
101,110
77,82
168,228
188,343
245,416
23,34
143,165
6,14
148,199
131,179
117,159
134,196
208,221
287,378
74,86
160,236
190,227
395,470
211,237
7,16
258,294
361,593
230,291
230,271
544,561
25,27
1,1
16,19
145,171
148,196
155,161
115,127
245,286
193,283
49,55
151,241
214,258
500,519
30,37
34,35
86,141
155,157
9,10
151,157
257,312
2,2
10,10
311,444
6,7
101,102
160,214
301,314
92,111
183,226
187,208
49,56
329,347
102,141
314,434
196,326
284,299
171,189
152,180
271,451
7,8
220,243
2,2
214,263
156,222
104,152
3,5
18,19
165,204
8,13
9,21
2,3
104,117
43,50
124,160
63,72
266,272
264,373
75,112
187,211
12,12
48,51
88,101
374,416
158,173
50,71
9,11
18,21
33,44
7,8
255,297
76,77
262,371
13,16
22,24
18,18
158,163
237,241
4,4
11,18
12,15
28,31
175,212
136,203
198,211
175,252
461,522
98,110
4,5
391,448
125,138
276,280
357,460
275,282
242,263
194,239
3,3
63,81
183,205
211,349
347,626
168,251
188,212
260,362
284,432
55,58
213,285
15,16
181,227
257,276
38,39
242,323
135,177
321,485
191,225
320,347
318,321
19,23
16,16
62,78
67,87
50,59
298,378
6,6
291,306
44,49
4,5
10,12
391,435
154,233
122,124
58,78
16,21
134,279
320,393
258,297
241,428
6,7
246,254
255,271
182,268
564,652
385,457
16,17
6,7
55,74
7,7
220,266
64,67
15,24
386,509
161,205
221,374
71,71
14,17
232,333
23,26
132,155
166,205
263,363
124,139
79,83
31,39
31,37
7,14
233,300
110,118
22,22
501,532
119,150
261,375
30,38
46,48
169,184
49,63
35,36
9,10
332,361
20,20
158,189
201,205
266,358
93,129
36,39
211,288
98,125
214,256
31,33
119,150
142,145
42,44
351,567
100,119
3,3
47,54
20,21
116,149
89,95
201,388
2,2
247,299
7,7
134,176
145,310
147,184
43,44
142,160
128,153
398,432
153,189
343,576
43,48
54,86
160,196
3,3
136,182
108,118
3,3
26,33
21,23
317,332
189,219
250,285
52,62
2,2
665,733
315,499
232,248
315,324
148,180
791,856
193,211
156,172
6,8
14,22
262,407
164,183
62,65
141,172
273,439
151,174
29,37
83,97
7,9
204,234
171,198
323,384
103,112
91,125
512,591
5,6
161,189
243,268
75,84
303,356
338,388
163,194
393,412
73,93
148,159
22,33
381,409
138,146
8,11
465,529
187,253
1,2
124,135
297,367
140,144
65,69
328,355
143,161
223,338
167,204
148,156
202,212
48,61
164,172
118,129
723,832
329,373
46,57
354,504
417,428
22,26
197,214
138,162
700,721
589,676
9,11
97,100
4,5
217,258
179,210
9,11
110,130
81,89
276,331
83,95
92,118
242,310
6,6
89,106
36,36
76,95
74,75
263,331
108,111
65,76
244,307
9,10
13,19
604,624
237,352
33,44
12,15
55,81
189,290
26,28
202,343
55,62
190,207
262,301
255,304
71,84
11,14
74,78
110,119
147,167
125,178
14,21
485,544
17,18
21,21
125,154
233,316
437,485
5,5
7,7
577,604
65,84
775,869
162,205
265,413
88,149
108,113
55,74
49,67
216,331
83,87
5,10
48,51
78,80
228,246
144,269
227,291
267,324
741,808
63,64
2,2
26,28
159,310
2,4
239,513
10,10
61,69
184,187
78,89
189,216
16,20
79,114
1,3
146,170
176,179
441,521
5,5
737,827
21,25
248,354
417,431
136,230
25,28
1,3
114,120
57,74
103,135
25,32
175,181
119,141
484,508
642,676
165,172
165,210
7,7
105,135
53,62
355,427
15,19
147,297
704,795
72,91
198,227
33,40
44,45
271,327
8,10
216,224
12,12
10,11
89,120
6,6
17,21
86,99
87,118
339,577
400,427
125,137
21,28
28,32
113,126
52,60
128,162
81,108
20,21
115,115
268,336
24,27
411,497
54,54
29,40
90,92
346,444
117,159
25,30
206,354
233,261
151,213
147,159
125,170
106,123
633,673
188,207
221,263
638,734
857,968
51,64
154,191
431,497
149,241
196,266
13,13
76,95
169,173
223,322
97,124
253,409
440,467
156,218
223,248
4,5
150,174
77,91
452,473
641,710
25,33
8,9
8,15
1,2
95,123
31,45
4,5
617,683
5,6
357,547
302,392
6,9
3,3
86,121
114,127
616,729
76,101
134,176
103,147
471,530
158,165
119,163
92,148
23,28
6,8
187,231
191,252
43,47
116,150
22,39
16,16
9,11
135,149
184,293
104,243
100,126
234,267
450,760
328,374
190,220
73,78
97,134
75,84
62,74
164,197
24,26
221,245
106,134
20,22
19,35
11,11
165,172
483,655
15,18
4,4
5,5
43,47
233,272
51,53
39,42
25,36
6,9
12,13
5,5
76,84
170,203
622,646
14,14
57,67
178,210
9,12
214,233
121,122
138,189
52,81
184,238
156,190
131,167
659,729
53,57
279,330
16,17
88,145
213,320
100,106
382,473
23,23
255,306
170,248
20,20
545,597
6,6
321,590
118,132
311,417
1,1
504,515
113,119
142,171
158,164
4,4
231,268
28,33
120,173
3,3
18,19
215,228
269,315
468,656
2,3
64,66
3,4
180,218
150,165
7,9
87,101
14,14
59,86
183,207
701,754
301,528
271,287
35,37
282,440
5,5
23,24
30,30
80,88
144,216
69,74
188,276
97,141
176,240
87,171
4,4
85,86
26,29
160,194
102,113
47,48
345,359
47,54
7,9
136,167
312,511
49,49
3,3
41,41
383,628
19,19
5,6
11,11
25,42
295,491
48,67
93,120
176,222
227,315
18,21
80,92
245,259
116,136
3,5
97,135
3,3
154,233
43,55
599,664
90,98
328,441
247,256
177,253
34,37
253,283
89,95
8,11
175,199
65,80
174,177
13,13
302,333
6,6
11,11
50,64
390,585
226,256
492,516
131,143
147,180
95,151
241,252
144,150
77,123
324,386
241,251
117,154
80,97
187,274
106,130
108,120
263,342
252,474
257,564
51,64
121,170
69,75
405,640
396,441
13,24
41,60
124,154
6,6
62,80
100,112
60,74
371,573
240,425
517,527
53,62
5,5
162,200
3,4
30,31
71,89
107,180
126,166
62,80
255,376
120,187
254,270
448,465
114,144
145,154
106,122
22,27
208,232
289,356
294,306
132,152
278,333
451,463
177,182
433,783
7,10
150,230
298,314
5,5
219,320
270,320
185,289
226,346
26,26
540,553
598,662
286,337
18,19
5,16
265,379
63,64
326,509
132,170
170,240
178,207
2,2
204,283
216,354
5,5
157,184
4,5
6,7
361,423
42,50
500,526
273,279
280,382
111,123
112,144
35,47
251,343
52,58
24,39
274,506
1,1
93,116
4,5
46,47
127,132
61,73
196,242
32,40
320,370
26,28
29,36
301,374
155,220
192,290
56,65
74,84
258,356
30,35
9,10
176,244
23,30
82,96
261,327
343,397
134,156
82,106
3,3
159,247
108,145
5,8
118,147
534,566
255,432
130,139
113,137
226,347
52,59
70,86
118,127
