temp,cnt
0.32,42
0.7,148
0.7,37
0.5,224
0.26,7
0.74,662
0.34,30
0.54,219
0.4,336
0.4,57
0.32,88
0.52,139
0.7,7
0.44,179
0.8,306
0.3,47
0.6,372
0.56,107
0.3,274
0.66,183
0.48,278
0.34,118
0.32,2
0.5,104
0.34,228
0.4,38
0.4,223
0.56,74
0.96,312
0.34,665
0.3,57
0.44,50
0.5,34
0.34,75
0.58,283
0.28,4
0.7,900
0.46,194
0.76,518
0.72,161
0.02,59
0.44,12
0.44,365
0.54,371
0.7,36
0.72,412
0.54,529
0.8,283
0.8,142
0.72,68
0.94,367
0.72,282
0.86,777
0.8,342
0.44,61
0.84,532
0.42,178
0.58,66
0.84,212
0.24,43
0.46,234
0.36,220
0.46,11
0.34,63
0.18,31
0.32,21
0.56,211
0.34,157
0.32,1
0.34,46
0.7,12
0.32,19
0.6,66
0.44,205
0.46,246
0.3,35
0.36,147
0.52,117
0.7,352
0.44,233
0.5,491
0.14,24
0.72,5
0.52,201
0.4,48
0.72,220
0.68,502
0.8,513
0.54,101
0.24,23
0.74,199
0.76,347
0.6,316
0.44,322
0.44,401
0.74,309
0.54,12
0.42,94
0.4,31
0.7,30
0.38,568
0.66,154
0.72,573
0.32,24
0.2,142
0.5,176
0.4,161
0.16,29
0.52,87
0.66,432
0.6,248
0.28,11
0.72,18
0.18,9
0.64,270
0.72,152
0.24,226
0.56,2
0.42,5
0.2,4
0.82,384
0.3,12
0.26,13
0.84,237
0.34,150
0.46,181
0.94,203
0.72,499
0.72,122
0.3,64
0.14,49
0.66,418
0.34,72
0.14,60
0.54,361
0.2,1
0.6,322
0.26,62
0.5,328
0.16,4
0.48,82
0.6,106
0.4,136
0.56,96
0.8,216
0.3,76
0.64,285
0.58,200
0.64,217
0.52,166
0.8,529
0.68,271
0.7,358
0.62,191
0.76,176
0.34,188
0.24,17
0.44,341
0.54,34
0.82,255
0.4,11
0.78,386
0.22,89
0.36,212
0.54,702
0.68,110
0.88,362
0.5,238
0.44,5
0.72,7
0.66,24
0.42,27
0.4,114
0.68,252
0.24,78
0.4,7
0.46,232
0.4,326
0.48,67
0.34,16
0.72,320
0.58,476
0.52,124
