temp,cnt
0.2,110
0.24,23
0.7,68
0.42,322
0.72,6
0.64,479
0.02,84
0.32,23
0.6,284
0.54,251
0.3,357
0.6,75
0.62,26
0.38,238
0.74,326
0.52,137
0.66,236
0.34,103
0.6,95
0.52,55
0.56,724
0.48,58
0.42,349
0.82,217
0.24,513
0.16,133
0.24,169
0.54,43
0.54,372
0.8,422
0.76,216
0.28,96
0.62,54
0.66,308
0.82,378
0.7,40
0.3,20
0.8,444
0.82,256
0.16,37
0.7,421
0.62,76
0.5,5
0.66,123
0.6,558
0.62,201
0.64,69
0.62,598
0.32,14
0.44,6
0.66,177
0.58,37
0.62,205
0.26,31
0.18,34
0.7,135
0.3,219
0.26,5
0.16,72
0.3,332
0.48,204
0.6,105
0.82,124
0.26,77
0.7,467
0.42,440
0.26,124
0.58,511
0.54,486
0.2,8
0.36,4
0.52,26
0.66,24
0.54,159
0.24,18
0.32,85
0.24,15
0.46,205
0.36,77
0.84,220
0.6,104
0.68,159
0.42,7
0.32,231
0.38,5
0.42,129
0.34,316
0.54,467
0.22,41
0.3,130
0.72,184
0.28,15
0.5,731
0.38,411
0.32,456
0.62,218
0.74,383
0.52,347
0.76,322
0.36,9
0.7,4
0.3,212
0.42,456
0.36,268
0.4,23
0.52,20
0.3,69
0.34,2
0.54,615
0.56,306
0.52,13
0.24,9
0.38,291
0.74,179
0.66,39
0.92,194
0.28,34
0.46,11
0.28,255
0.42,267
0.84,186
0.62,332
0.28,10
0.5,116
0.66,281
0.64,414
0.44,368
0.26,31
0.4,372
0.24,2
0.64,46
0.38,257
0.26,29
0.52,455
0.88,263
0.68,70
0.46,28
0.2,5
0.54,250
0.68,355
0.62,6
0.82,281
0.4,26
0.38,114
0.68,4
0.56,303
0.88,377
0.38,4
0.52,48
0.44,138
0.2,5
0.66,699
0.7,970
0.32,515
0.62,35
0.24,66
0.32,32
0.88,527
0.78,176
0.66,45
0.24,56
0.52,107
0.62,80
0.04,22
0.5,269
0.74,16
0.76,415
0.4,26
0.14,112
0.9,284
0.26,221
0.66,65
0.68,686
0.4,308
0.44,5
0.62,192
0.62,442
0.52,324
0.46,215
0.56,618
0.7,220
0.44,164
0.68,499
0.48,32
0.78,10
0.76,316
0.54,106
0.2,26
0.64,193
0.4,222
0.64,42
0.36,189
0.42,284
0.44,4
0.44,162
0.14,7
0.78,128
0.36,354
0.24,129
0.38,256
0.64,39
0.72,40
0.42,182
0.66,369
0.72,225
0.5,313
0.42,2
0.94,214
0.28,4
0.7,571
0.34,64
0.32,47
0.48,66
0.36,6
0.34,5
0.26,57
0.38,187
0.54,113
0.74,262
0.42,3
0.34,297
0.2,4
0.24,117
0.72,302
0.42,54
0.34,46
0.1,12
0.36,73
0.24,270
0.14,220
0.6,34
0.28,106
0.62,608
0.7,381
0.74,455
0.3,26
0.56,6
0.36,35
0.6,271
0.62,160
0.72,251
0.34,239
0.74,12
0.24,46
