registered,cnt
15,18
127,151
181,258
96,122
36,44
3,3
39,55
57,74
171,219
487,547
184,224
29,30
8,8
281,503
141,175
38,41
167,209
37,41
6,7
400,710
43,45
11,12
104,152
132,165
72,75
11,16
230,286
9,13
16,28
254,405
152,156
6,11
193,207
18,23
103,119
8,8
3,12
2,3
207,272
4,11
99,138
6,6
195,279
23,24
53,56
2,2
61,70
250,285
100,155
19,23
652,724
126,166
284,489
188,234
10,12
462,483
224,324
53,75
313,330
160,257
20,31
157,160
103,143
241,262
150,166
133,140
114,163
83,94
134,158
4,13
155,188
353,425
164,218
423,516
10,17
177,287
4,4
189,274
335,370
189,197
29,35
142,146
153,288
36,38
22,24
124,179
158,179
16,19
2,2
3,3
385,411
12,21
206,254
8,9
60,76
14,17
10,11
174,218
61,85
43,46
207,241
112,143
155,171
86,122
15,18
169,203
271,312
131,161
193,256
65,78
162,236
7,8
350,452
5,13
101,107
76,84
76,86
12,15
139,143
3,3
20,20
122,124
251,292
134,196
242,351
56,68
12,16
512,599
4,4
5,7
323,442
184,313
255,271
177,185
73,76
108,109
221,435
11,24
61,66
1,1
175,181
245,281
11,13
363,632
307,468
185,289
255,318
213,285
652,668
102,125
257,378
5,5
116,138
121,164
52,62
202,343
5,5
30,50
12,13
154,227
82,104
10,10
216,219
2,4
339,472
225,258
51,53
308,407
213,251
7,10
757,854
162,171
5,6
262,302
56,70
96,123
86,121
9,9
287,300
37,46
12,20
198,209
192,225
11,16
58,71
40,74
143,180
415,439
383,651
98,157
5,5
264,311
216,320
44,53
9,15
368,398
170,203
57,62
308,366
48,55
15,21
264,410
23,25
71,79
2,2
65,90
162,343
452,487
110,165
158,195
126,165
342,557
170,200
294,442
104,121
4,4
221,237
17,19
13,13
11,12
9,14
166,215
119,126
16,20
145,182
18,21
34,40
251,343
238,316
14,15
137,240
2,2
52,62
95,151
53,68
162,173
265,395
425,750
112,178
79,106
264,373
338,491
25,38
39,44
170,218
223,230
2,2
49,49
177,182
333,374
5,6
287,302
7,13
150,163
95,130
207,279
179,190
28,36
240,289
170,211
55,57
130,179
134,176
10,11
12,17
377,410
146,189
703,740
5,6
187,215
150,153
68,89
47,50
140,174
151,190
354,377
99,105
89,153
252,265
155,163
18,18
163,260
202,369
242,321
385,470
175,229
37,48
8,11
75,93
546,585
5,5
97,124
27,39
1,1
649,665
539,568
7,7
62,63
321,362
117,182
81,120
45,48
53,72
43,47
45,48
349,408
197,254
183,222
111,153
76,86
240,374
137,210
4,4
93,111
234,353
88,114
84,90
10,13
55,66
63,71
41,54
71,73
169,181
99,127
192,302
166,212
287,304
63,79
40,43
6,6
192,277
363,377
27,31
8,8
22,24
240,285
215,383
146,211
5,5
338,690
93,97
78,102
5,6
79,106
92,113
7,7
19,23
23,30
4,4
194,266
125,171
7,7
491,572
155,194
148,191
61,61
290,409
472,495
67,83
86,106
156,204
6,7
262,371
480,505
85,89
620,722
7,7
246,254
232,248
325,370
171,178
82,87
29,40
122,137
138,170
29,32
17,22
133,137
126,170
24,24
385,453
122,135
198,263
18,21
11,12
177,304
359,377
223,278
89,114
113,117
144,188
232,306
37,39
154,203
4,4
3,3
222,291
38,38
19,20
101,138
55,71
290,321
323,581
106,164
2,2
104,108
335,531
76,95
41,56
181,230
52,55
118,173
690,719
217,311
23,25
8,12
112,145
115,142
4,9
96,133
5,6
423,468
89,137
144,162
9,10
373,429
150,201
136,167
82,103
277,307
265,289
167,185
3,5
2,2
292,338
7,7
260,434
4,5
3,3
97,100
40,42
213,257
59,61
329,554
94,168
98,156
248,295
276,329
62,69
4,6
231,346
93,97
24,24
61,64
142,154
10,16
71,72
489,509
72,78
8,13
8,12
274,313
290,517
769,873
71,76
130,155
8,10
303,356
238,310
5,6
31,46
484,540
1,1
138,182
1,5
5,5
141,337
410,635
375,640
8,9
112,146
274,406
160,194
70,96
232,270
81,86
108,111
88,119
328,359
67,87
20,22
182,271
86,115
288,312
39,39
246,272
92,95
492,560
281,302
237,332
491,507
131,197
244,373
148,195
314,500
102,112
5,5
39,47
81,83
49,50
323,405
194,221
128,178
109,146
113,154
145,153
78,91
259,286
327,396
99,108
13,13
277,286
177,184
17,20
491,682
5,5
264,390
142,165
182,229
252,264
243,257
2,2
132,133
118,131
159,310
23,27
45,72
139,169
12,14
38,44
460,688
458,482
2,2
284,335
24,27
63,84
146,168
4,5
72,121
8,17
567,576
81,90
9,10
15,17
9,9
251,322
30,42
131,164
148,176
277,323
2,2
80,93
229,298
180,225
51,62
268,567
6,8
39,48
130,146
283,333
3,4
514,550
310,366
343,382
12,18
228,284
358,362
30,32
405,482
215,325
75,91
312,332
241,401
83,92
107,148
266,299
15,16
470,556
115,155
90,98
66,78
240,254
370,382
3,4
3,3
168,171
296,301
85,95
136,180
35,41
49,49
228,288
128,156
337,482
85,88
216,249
9,10
78,81
266,293
176,231
235,241
348,370
20,28
63,64
36,45
192,322
156,196
102,135
11,21
108,116
134,170
209,331
143,164
62,75
26,51
240,254
188,210
120,169
175,211
310,355
156,201
72,84
176,223
89,99
267,359
191,206
158,174
39,70
346,544
54,77
56,60
126,175
599,664
71,75
190,268
86,131
209,221
181,258
3,3
33,52
272,440
26,26
196,247
45,47
70,123
20,22
224,359
327,376
212,292
259,356
296,338
73,88
74,85
74,83
216,227
71,84
3,3
87,90
18,20
143,226
49,79
190,220
127,130
16,21
229,323
14,14
788,890
42,43
102,115
82,97
176,205
227,376
137,217
16,19
37,40
301,327
16,16
5,11
329,398
157,184
225,271
103,140
7,7
93,140
170,253
196,418
288,318
41,47
18,21
2,2
33,49
402,478
4,4
24,24
178,223
1,1
33,35
203,331
208,271
15,17
200,209
19,20
258,282
228,285
47,57
503,529
130,185
120,134
106,130
87,87
296,445
51,59
171,230
472,537
113,163
291,377
245,367
1,2
467,516
13,19
91,110
112,144
47,47
171,204
200,244
187,205
198,241
318,336
238,291
369,431
29,32
163,212
6,8
96,120
102,139
348,383
786,891
124,147
31,45
65,73
134,150
20,26
125,177
391,419
92,129
127,199
250,354
80,84
50,54
7,7
5,5
281,342
387,399
54,59
239,240
509,579
23,27
15,16
220,253
10,11
102,107
20,22
362,388
69,70
224,270
495,508
50,70
3,5
15,23
159,247
507,572
596,653
309,420
12,15
189,219
49,57
150,162
189,236
122,184
153,165
233,261
5,6
3,3
48,51
126,136
323,394
15,16
126,153
26,27
71,102
201,244
26,29
3,3
124,131
115,145
95,101
214,280
163,221
105,117
151,241
6,6
121,150
311,381
144,166
148,203
18,18
21,26
342,368
127,175
157,186
3,4
252,280
160,228
21,23
53,69
13,15
29,37
1,1
33,38
266,343
360,616
97,103
3,5
37,43
232,271
51,69
254,311
4,6
578,616
198,215
21,32
127,164
47,52
41,53
6,14
22,35
13,17
9,11
145,152
66,79
210,283
163,198
1,2
17,17
236,243
780,808
146,198
263,367
48,66
320,343
6,7
43,53
16,17
61,64
8,10
10,10
106,124
396,466
36,71
121,123
67,72
312,365
191,230
9,12
112,124
20,20
280,394
156,208
161,212
8,16
8,8
232,288
70,88
41,52
156,178
158,180
499,573
6,6
63,71
174,239
696,728
64,75
6,10
241,329
3,3
154,172
346,352
241,251
156,186
278,289
148,154
479,538
16,18
247,333
9,9
15,19
112,127
356,547
452,472
38,40
218,250
254,264
87,100
120,152
212,284
167,170
191,274
412,463
1,1
45,57
224,279
120,156
33,42
534,603
518,559
87,141
79,112
5,5
129,169
661,681
9,10
3,3
154,202
206,243
75,84
21,38
715,800
8,14
143,212
279,304
2,2
243,321
46,51
111,138
90,108
139,214
305,311
13,14
14,14
207,222
575,584
8,9
141,168
34,44
225,265
14,17
192,232
164,197
14,15
2,4
16,20
59,62
21,34
96,112
6,10
136,183
334,388
135,151
85,90
9,9
6,8
23,26
281,360
18,20
210,229
22,22
79,83
103,105
245,363
14,17
44,48
192,195
75,78
41,44
292,307
243,351
215,228
199,290
31,31
55,79
495,531
3,3
81,108
4,4
28,35
2,2
4,4
18,20
158,218
12,18
505,520
148,157
203,308
282,437
62,80
455,466
99,108
211,292
154,162
61,86
13,14
4,6
249,413
105,108
310,540
791,856
139,165
481,502
49,56
283,297
497,508
109,119
9,13
11,12
226,411
386,421
101,141
11,11
164,189
33,44
328,346
253,286
316,328
4,5
130,164
20,22
46,67
193,201
127,141
90,102
255,392
146,189
167,236
105,127
216,253
453,532
222,373
53,66
14,15
183,261
209,221
284,300
473,498
191,203
50,57
238,363
210,217
7,7
415,443
48,51
161,171
61,87
9,12
89,92
59,66
214,376
183,204
9,10
206,244
125,128
4,8
1,1
142,145
6,7
5,5
125,167
422,451
71,98
189,236
29,31
95,98
231,246
35,39
42,46
5,8
1,1
97,121
84,84
293,373
124,127
2,2
386,409
46,64
18,28
126,204
734,812
102,102
168,237
118,176
2,2
120,165
377,408
237,297
6,9
188,196
5,5
410,438
211,288
37,42
256,327
1,2
222,364
467,534
133,174
12,19
130,154
104,149
4,4
6,10
55,62
33,33
174,193
36,46
33,37
40,47
354,593
28,45
19,23
12,12
16,16
33,36
237,271
276,348
659,729
69,69
235,350
193,235
224,308
212,335
95,106
446,460
12,18
1,3
301,366
70,74
1,1
48,68
654,690
355,382
111,141
5,5
71,90
6,6
86,105
24,27
99,135
246,293
27,30
90,142
22,39
23,23
93,96
86,100
126,167
89,106
15,25
34,36
11,13
19,20
5,8
571,613
225,306
7,9
741,808
38,45
262,417
7,14
21,28
143,179
19,20
224,230
318,321
323,382
33,50
815,884
23,23
3,5
179,339
65,80
50,67
5,5
43,46
75,98
17,20
453,461
88,94
71,79
11,18
153,201
11,12
121,160
163,211
409,428
9,10
245,283
71,71
578,605
33,43
108,125
119,158
219,222
114,147
19,23
59,65
86,91
3,3
208,283
82,86
159,184
203,210
668,700
107,118
145,170
225,270
12,15
99,124
11,12
128,187
301,329
142,263
11,12
156,165
84,131
89,99
180,239
532,611
352,462
7,8
85,115
52,81
36,39
95,125
203,291
358,402
68,70
365,452
256,383
88,93
163,187
91,92
71,87
26,30
188,238
26,34
405,578
368,420
15,20
146,231
79,83
758,797
71,84
222,363
71,149
6,6
83,87
6,6
78,84
8,11
116,157
3,4
412,425
36,41
78,89
90,113
3,3
69,75
100,112
5,5
22,24
170,238
182,185
212,277
492,548
46,67
69,71
104,155
44,44
204,206
18,28
2,4
241,264
182,233
202,281
19,24
4,5
316,325
86,103
149,192
5,6
3,3
217,260
723,832
375,406
7,8
312,423
5,6
744,852
103,108
115,126
248,354
168,191
27,39
133,144
140,157
1,2
100,103
123,186
10,16
177,224
194,243
178,237
319,479
77,79
2,2
13,14
5,8
116,183
55,58
179,205
150,189
24,24
64,65
281,329
4,4
271,368
162,229
48,48
479,551
110,118
154,172
53,55
73,114
24,24
259,268
188,218
8,23
95,102
142,215
75,84
542,643
101,112
167,198
374,400
22,28
57,65
54,72
16,16
96,111
17,34
10,13
299,309
233,316
377,404
78,86
74,83
16,16
4,5
54,63
1,1
85,117
169,200
4,4
36,36
30,35
31,31
88,97
15,16
472,539
354,397
35,38
175,277
223,338
225,250
10,13
9,10
61,64
280,297
123,141
15,20
123,135
55,69
196,272
40,42
34,39
6,7
120,168
80,80
218,259
186,299
126,186
397,410
138,189
70,71
59,104
27,32
378,581
134,190
27,29
92,118
64,66
174,230
227,234
20,22
5,7
131,189
23,25
163,179
145,174
324,387
188,225
83,90
131,179
404,668
91,109
244,305
4,11
54,67
292,392
751,844
56,60
120,178
9,11
280,292
540,592
170,349
97,172
33,40
213,358
150,177
598,699
85,116
6,6
434,707
240,315
253,259
191,229
102,109
27,28
103,131
4,4
496,582
180,236
66,75
176,248
248,367
97,113
131,176
234,329
81,108
527,589
111,125
269,341
297,346
459,546
127,171
372,639
231,274
104,152
212,267
71,101
49,70
8,8
48,58
3,5
26,34
22,23
5,5
148,171
94,134
26,34
97,126
219,248
138,151
107,109
19,19
84,88
259,267
74,78
500,584
11,20
194,201
347,614
338,494
332,361
3,4
8,8
52,55
105,161
7,12
68,79
465,478
151,209
36,55
99,103
78,89
311,642
133,146
164,220
277,352
195,209
71,79
215,373
51,56
350,463
190,209
164,214
102,108
263,297
3,7
49,63
331,473
78,106
103,135
381,386
443,750
234,267
341,569
746,779
719,822
3,6
52,67
104,118
39,50
370,589
7,7
112,142
10,17
2,2
142,164
205,275
23,27
78,80
7,8
9,9
41,55
13,17
23,24
242,310
209,302
59,86
61,64
64,69
400,427
551,582
0,1
3,5
2,2
195,228
224,278
337,591
447,584
168,182
148,153
137,175
172,269
672,713
79,114
204,292
454,560
229,432
282,372
101,105
5,5
1,2
126,174
6,6
242,254
203,243
153,209
14,14
246,262
49,56
154,193
91,94
48,60
136,179
65,80
241,277
63,71
145,239
70,71
860,967
22,26
30,35
418,429
227,294
9,10
19,24
7,7
396,421
5,5
33,44
69,73
19,20
49,50
120,129
16,16
273,356
119,171
7,8
156,201
6,6
117,132
8,8
123,202
437,456
141,223
23,30
483,514
46,50
176,236
357,564
10,17
186,253
18,19
222,280
18,25
7,8
94,134
31,32
384,408
163,275
83,85
111,117
164,169
274,336
98,114
89,107
5,5
5,5
193,222
5,5
7,14
215,286
220,285
6,6
199,294
256,263
155,304
243,275
2,2
2,3
159,233
191,212
496,723
8,12
220,253
163,181
4,5
230,294
108,122
292,343
35,42
86,93
3,3
208,248
81,91
111,114
534,590
140,144
183,197
20,28
98,127
6,6
24,29
137,147
42,46
119,177
340,419
187,249
61,73
5,7
82,106
50,60
5,8
9,9
5,7
324,349
288,328
551,646
179,251
232,303
196,271
10,11
11,11
10,10
297,308
165,168
145,171
19,27
35,36
103,136
334,421
72,74
175,186
43,47
76,82
26,27
70,86
88,88
30,34
225,300
49,57
8,10
230,359
53,57
48,49
67,71
7,8
297,412
246,358
2,4
306,329
342,522
20,20
161,212
118,120
281,449
178,206
60,78
225,277
16,16
110,121
63,68
300,381
77,112
77,129
46,49
151,152
39,39
117,159
628,678
524,601
133,182
95,99
174,206
96,97
2,4
4,4
170,217
71,75
78,79
71,89
4,4
23,38
93,104
5,6
21,21
41,43
90,120
62,74
114,152
313,343
137,139
53,55
11,14
3,3
191,204
20,22
11,12
29,30
373,638
164,219
96,112
442,527
341,401
128,182
29,44
91,125
186,247
107,109
79,85
382,417
119,142
200,213
113,134
31,33
111,164
114,161
5,6
183,222
19,23
193,255
211,256
7,9
139,168
37,52
20,23
13,13
88,147
47,49
209,290
97,102
17,18
61,66
98,111
78,85
124,166
78,95
299,498
122,130
36,42
11,11
8,14
80,113
159,168
130,187
189,331
2,3
7,10
144,167
21,28
79,84
171,211
99,130
121,133
58,62
75,82
11,17
