registered,cnt
124,166
29,32
165,170
213,358
247,280
7,12
148,203
177,328
238,397
218,311
22,33
23,24
18,27
210,305
149,181
539,611
157,235
262,371
226,272
83,95
47,51
144,181
620,715
186,222
84,131
123,145
455,469
26,30
148,284
5,5
161,175
77,98
127,199
192,270
187,256
365,452
242,310
131,167
125,148
43,53
52,62
53,57
61,65
106,133
497,591
70,93
14,20
4,4
189,229
234,251
31,39
4,6
24,24
119,148
196,242
248,325
7,9
196,436
442,527
67,73
142,185
384,404
34,36
79,87
405,540
39,47
709,785
258,381
248,281
62,80
55,90
82,117
76,98
28,32
80,85
310,315
150,157
47,63
77,129
7,7
215,373
108,119
252,265
62,68
320,365
164,214
122,135
2,2
284,313
19,22
117,151
433,500
62,74
188,218
225,277
195,236
240,320
99,106
115,168
89,100
25,30
87,92
332,463
71,90
367,584
91,93
808,838
378,385
105,114
10,12
142,151
318,392
93,93
33,35
242,310
282,499
8,8
404,654
628,738
64,72
11,18
237,256
276,451
618,661
27,40
45,54
85,90
121,169
155,161
17,17
1,1
104,212
6,7
248,354
61,72
335,389
1,1
378,581
91,95
10,14
1,1
271,403
184,198
82,93
118,120
8,16
436,662
205,237
1,1
16,19
51,55
329,336
21,22
347,440
598,613
91,96
9,9
202,234
79,100
107,131
76,88
598,699
604,646
115,123
199,294
44,44
242,323
188,196
67,79
222,237
399,407
61,64
6,6
205,222
237,371
12,13
187,213
95,102
5,5
105,131
4,4
225,271
62,70
75,88
51,56
214,237
114,123
11,11
227,326
139,186
141,177
172,309
230,286
303,428
206,285
176,188
95,125
105,138
32,41
618,698
3,3
156,202
164,232
58,60
135,151
13,13
176,194
120,161
129,162
223,317
7,8
176,355
111,133
151,160
175,190
299,353
42,44
127,145
120,134
10,11
469,482
47,63
111,129
325,378
51,55
14,16
30,45
716,823
183,222
360,466
6,6
100,117
161,251
155,170
203,210
86,94
202,204
215,244
211,285
207,241
13,20
1,2
51,60
66,107
78,84
28,40
189,237
4,7
222,271
41,51
222,290
138,145
166,202
207,227
67,73
150,203
95,107
354,424
589,664
186,247
167,361
225,396
478,503
137,160
7,10
3,5
170,213
36,46
3,3
312,520
61,64
543,631
116,124
39,39
111,157
48,64
307,543
109,150
159,184
229,485
143,164
437,454
38,44
21,21
297,368
14,17
151,183
280,369
280,289
198,206
100,121
329,398
16,17
22,22
339,449
116,170
5,5
270,404
324,349
6,8
155,163
24,30
65,71
8,13
1,1
102,132
200,209
177,224
5,7
74,85
498,507
256,327
192,327
22,23
3,4
20,26
224,332
8,9
83,90
319,453
123,146
31,35
11,16
42,51
213,284
92,102
52,63
537,609
34,37
96,112
139,183
77,79
201,253
143,187
96,122
312,387
358,649
278,455
157,178
321,388
132,152
31,31
121,161
297,412
145,200
619,730
12,13
378,640
178,349
33,48
113,153
26,26
110,135
6,6
135,174
50,68
15,16
115,121
79,93
59,66
405,482
34,34
220,253
137,164
22,24
360,424
172,177
133,192
123,154
135,154
73,98
87,95
224,251
156,197
264,337
2,2
149,231
107,151
156,190
363,451
167,236
222,250
21,28
113,163
237,310
252,271
212,357
74,83
169,192
26,34
164,180
124,182
192,256
180,239
385,420
8,10
353,380
191,274
581,595
25,26
77,85
35,35
5,5
98,109
397,442
208,326
193,232
201,219
7,9
68,109
433,486
465,532
5,6
507,572
221,237
268,345
394,492
58,63
228,285
39,41
177,198
7,7
112,162
12,16
59,70
229,246
366,691
299,335
99,126
681,719
232,362
244,314
157,174
234,252
1,6
64,96
207,221
84,89
53,72
198,199
150,153
56,81
145,170
211,242
262,294
143,226
274,336
132,148
372,380
8,8
6,6
149,170
229,331
