registered,cnt
8,9
43,45
83,89
104,132
32,32
22,22
326,504
680,710
52,61
111,115
23,29
121,160
63,66
170,178
2,2
112,114
107,116
553,590
309,322
432,449
187,210
102,108
33,43
71,79
98,99
225,305
91,127
186,222
58,65
486,529
32,32
121,151
391,448
209,258
391,420
215,288
4,5
8,9
4,5
22,29
26,26
128,168
71,76
64,66
3,3
15,18
546,563
8,11
317,362
176,213
60,65
7,9
180,218
24,25
20,25
3,4
61,71
226,253
280,394
185,218
158,229
64,70
218,272
461,504
43,47
401,414
192,322
92,125
16,22
12,15
41,59
105,124
153,173
479,551
222,347
577,617
61,64
27,32
96,111
115,164
112,131
19,23
175,254
462,529
247,283
10,10
2,3
171,260
171,246
192,200
251,293
13,15
414,454
317,332
194,223
9,16
197,291
6,10
17,20
8,10
52,62
53,60
22,24
61,73
719,852
371,609
60,84
239,276
191,217
3,4
305,364
6,8
125,152
64,69
362,416
37,43
11,11
182,239
215,325
3,4
88,107
1,1
198,239
5,5
59,64
18,31
28,33
10,12
132,152
2,5
120,135
109,115
185,227
132,185
163,181
170,181
130,144
56,64
51,86
146,162
15,16
4,5
164,213
28,32
115,141
57,61
1,1
30,56
448,465
4,6
43,47
348,534
35,41
206,254
178,239
215,257
260,463
134,153
247,249
71,72
8,9
27,32
392,422
274,506
193,235
53,69
77,94
370,439
3,3
49,57
6,6
76,84
97,114
91,122
10,13
108,113
183,190
25,26
1,2
139,187
16,31
5,7
5,5
1,1
183,207
168,182
22,23
5,6
162,178
152,162
5,5
9,10
50,57
85,105
41,45
133,175
234,249
80,97
434,729
34,55
160,223
23,35
9,14
318,685
9,18
239,257
75,92
96,104
791,856
345,452
282,437
39,45
138,177
207,210
27,45
404,678
174,201
118,126
1,1
486,576
411,497
112,118
194,291
13,19
4,4
2,2
6,6
298,378
3,6
4,4
127,133
151,168
1,2
57,74
4,5
143,156
68,100
7,7
28,47
39,39
157,160
101,108
8,8
181,198
98,100
182,261
123,145
18,21
168,188
247,263
104,112
133,205
25,27
1,2
94,95
155,161
218,268
67,76
142,144
23,24
72,76
271,287
157,189
207,278
203,331
259,286
312,365
51,64
497,508
141,180
74,95
39,47
25,32
228,312
5,5
60,62
256,311
253,364
156,190
7,7
98,137
375,386
16,17
11,11
216,229
12,12
270,312
42,47
174,235
186,220
74,85
95,106
193,198
137,215
23,30
495,513
478,503
126,136
126,136
86,87
173,276
42,46
194,250
150,272
1,1
81,99
170,203
145,201
278,328
195,235
4,4
17,21
63,90
70,80
184,191
103,133
68,115
156,188
104,148
288,322
22,23
426,496
43,55
197,260
111,159
8,8
232,276
316,386
1,1
255,271
5,5
419,509
6,6
22,22
139,149
84,141
97,100
164,204
268,357
218,342
45,46
331,517
37,52
471,513
178,251
287,298
341,569
230,272
209,257
337,512
117,129
77,84
5,6
502,521
202,223
75,82
197,276
15,16
158,204
68,98
106,123
115,153
279,326
210,250
30,37
7,7
166,193
129,304
125,158
268,336
9,11
255,313
283,354
180,273
80,92
101,121
69,74
135,173
260,391
203,272
93,95
85,85
114,124
71,89
79,95
80,82
283,314
112,141
74,92
176,258
160,177
119,136
81,88
258,442
419,499
60,70
107,158
6,11
407,420
156,173
157,222
177,198
43,46
305,334
107,112
62,75
251,350
40,50
4,4
114,123
839,943
261,456
5,10
