registered,cnt
226,302
149,181
247,522
196,329
189,216
272,281
48,49
104,119
96,130
95,108
10,16
342,571
130,136
323,466
204,300
182,248
115,121
419,502
231,312
63,64
207,272
35,37
6,7
244,427
153,173
104,108
348,387
484,565
70,123
66,79
125,147
107,113
72,82
49,66
39,44
109,129
6,7
31,37
83,96
469,586
373,638
62,66
21,31
185,207
46,48
96,138
27,33
210,265
3,5
106,182
112,145
186,193
251,322
204,267
437,691
37,55
216,259
47,78
84,88
41,41
138,182
208,263
493,556
138,145
5,5
191,252
17,21
5,6
37,38
179,214
44,55
145,171
55,63
339,449
105,131
106,140
81,125
39,45
508,539
240,276
150,328
23,33
166,215
8,10
106,113
19,23
19,22
30,35
89,100
76,82
5,5
225,258
40,41
266,319
36,44
195,224
23,25
15,17
178,221
512,570
53,58
35,40
113,143
38,39
230,331
404,438
90,127
3,3
316,323
270,346
32,32
125,147
186,207
101,133
223,227
4,6
146,189
7,9
3,5
171,205
248,306
8,11
12,14
321,485
144,188
191,225
3,3
289,357
4,5
422,432
216,233
654,690
5,8
5,6
177,200
241,334
128,196
119,128
44,54
47,49
92,153
4,4
76,78
127,223
15,24
26,26
272,471
27,35
394,473
137,217
66,76
2,2
111,134
324,422
169,173
15,15
29,37
1,1
59,65
8,10
48,62
2,2
8,13
7,7
79,80
2,2
262,417
46,58
58,70
196,211
119,132
53,63
21,28
75,76
437,626
89,113
59,78
167,226
178,260
63,75
272,405
165,196
262,285
486,538
255,293
498,507
91,102
206,243
5,5
23,28
330,360
195,205
106,159
5,5
84,89
49,53
7,8
21,21
1,2
452,473
20,22
58,63
40,54
184,227
171,217
37,38
296,338
132,133
102,110
24,27
6,13
142,180
3,3
71,90
199,220
75,77
87,92
174,227
340,359
190,197
120,147
1,2
155,184
126,167
241,401
296,327
35,42
508,515
224,258
330,616
174,254
239,268
95,111
12,20
17,19
4,5
11,12
95,105
5,5
312,495
7,7
6,8
163,275
28,37
30,33
50,56
207,300
2,2
90,90
113,120
796,900
3,3
261,283
88,125
10,12
22,40
174,186
129,170
89,110
818,905
154,202
368,396
334,337
110,112
21,30
204,231
36,42
8,10
7,9
338,385
166,181
201,244
75,112
41,52
59,80
114,280
269,357
141,172
70,79
45,48
243,291
1,1
86,122
7,11
193,207
196,326
497,542
5,5
5,8
2,2
5,6
82,106
38,41
124,131
381,396
105,120
1,1
71,101
156,202
249,503
83,90
107,116
460,527
150,201
219,393
126,178
50,57
359,372
368,565
87,92
2,2
289,317
168,223
50,53
84,116
3,4
4,6
435,486
678,798
20,26
4,4
159,169
111,169
48,51
119,136
170,203
5,5
219,237
2,2
625,646
111,164
9,14
21,21
5,5
64,64
23,36
90,93
226,229
116,147
2,2
5,7
421,442
150,169
183,205
119,204
232,300
743,843
21,22
252,313
239,449
208,260
69,74
107,144
348,384
44,49
168,177
424,686
355,372
56,65
313,367
159,208
38,54
634,757
10,13
49,50
14,16
104,152
28,31
323,365
188,196
95,151
35,36
146,180
4,11
148,191
69,73
130,152
19,31
99,122
179,181
2,2
19,23
158,171
21,21
405,433
164,184
336,375
230,314
9,11
157,195
21,34
91,95
5,6
14,14
23,27
79,112
5,6
11,11
244,305
29,30
71,83
11,13
180,218
193,285
225,283
147,201
115,164
571,613
2,2
329,359
287,404
148,160
150,166
50,53
16,16
348,368
335,395
6,7
417,454
703,744
98,153
185,247
13,13
68,89
144,154
391,585
133,264
52,53
36,43
66,93
342,413
147,216
103,114
417,505
218,296
70,90
161,192
78,99
54,57
179,185
253,275
235,245
378,447
275,283
223,394
129,162
52,54
237,290
9,9
4,4
448,465
137,164
117,144
54,70
149,174
61,72
301,408
238,268
15,15
203,234
9,10
137,161
170,190
169,201
505,520
48,68
170,217
80,93
677,715
447,513
699,810
190,207
141,148
3,5
5,5
26,28
327,355
4,6
197,213
236,293
29,29
149,241
9,10
22,22
64,78
400,414
338,494
2,2
155,197
4,5
4,6
184,293
120,152
70,73
1,2
72,72
157,193
167,206
5,5
2,3
2,2
375,386
25,27
198,211
64,97
36,43
402,431
6,7
304,365
188,287
106,117
217,246
106,114
49,49
47,52
175,215
130,181
1,1
774,864
200,204
4,6
5,5
542,643
153,231
7,7
241,280
57,65
236,271
192,194
87,91
83,92
475,515
265,272
263,371
34,34
78,85
67,76
78,84
3,12
266,286
434,456
107,131
105,121
192,201
143,212
35,41
162,187
248,295
167,177
74,85
70,73
182,233
175,203
268,336
325,469
19,20
26,45
176,244
4,4
371,447
126,134
108,145
39,43
345,452
6,6
193,232
142,219
