temp,cnt
0.32,9
0.22,156
0.24,11
0.68,13
0.88,102
0.72,383
0.4,150
0.42,525
0.74,381
0.74,166
0.42,2
0.62,308
0.66,133
0.3,169
0.32,9
0.28,18
0.54,331
0.14,12
0.36,78
0.52,337
0.6,207
0.6,576
0.74,165
0.68,115
0.24,87
0.7,308
0.24,45
0.62,337
0.54,248
0.42,11
0.64,472
0.7,47
0.82,285
0.22,34
0.56,597
0.5,4
0.58,16
0.52,30
0.56,180
0.72,673
0.34,87
0.26,126
0.5,656
0.32,2
0.52,252
0.84,455
0.72,89
0.42,117
0.42,5
0.42,12
0.5,315
0.46,6
0.4,82
0.76,509
0.74,451
0.26,26
0.62,80
0.38,135
0.22,263
0.5,313
0.78,208
0.52,190
0.76,207
0.58,276
0.38,54
0.26,248
0.6,244
0.52,132
0.7,264
0.22,183
0.34,135
0.24,16
0.76,891
0.26,228
0.36,253
0.8,418
0.24,75
0.78,609
0.48,78
0.62,7
0.7,729
0.68,248
0.24,256
0.7,191
0.24,125
0.2,30
0.46,476
0.26,346
0.4,29
0.44,274
0.74,57
0.32,203
0.36,268
0.42,594
0.26,41
0.36,163
0.62,315
0.66,78
0.28,55
0.4,226
0.12,16
0.26,77
0.7,13
0.4,200
0.3,147
0.72,11
0.3,3
0.62,481
0.36,392
0.5,585
0.86,94
0.4,114
0.64,658
0.42,11
0.66,347
0.4,13
0.6,459
0.72,371
0.54,12
0.32,208
0.74,335
0.6,654
0.88,503
0.46,178
0.7,122
0.54,10
0.24,119
0.28,222
0.16,10
0.52,491
0.42,72
0.22,286
0.22,41
0.66,266
0.54,84
0.32,105
0.7,17
0.68,296
0.8,831
1.0,294
0.5,98
0.3,15
0.76,463
0.24,97
0.3,109
0.66,208
0.64,281
0.62,177
0.58,77
0.34,26
0.3,20
0.7,6
0.32,2
0.3,3
0.38,82
0.32,62
0.66,485
0.2,178
0.48,7
0.58,228
0.26,2
0.62,30
0.42,318
0.26,12
0.28,51
0.56,130
0.6,3
0.6,5
0.64,11
0.54,10
0.28,104
0.52,292
0.56,29
0.46,78
0.54,464
0.2,107
0.72,387
0.34,75
0.26,34
0.14,108
0.28,10
0.26,10
0.18,8
0.28,5
0.32,171
0.5,154
0.52,329
0.72,327
0.74,823
0.4,100
0.4,5
0.7,150
0.24,56
0.64,54
0.72,374
0.34,48
0.66,190
0.72,282
0.28,3
0.66,16
0.56,295
0.8,300
0.82,312
0.42,8
0.56,226
0.34,11
0.44,147
0.22,3
0.32,6
0.58,436
0.72,236
0.24,59
0.76,202
0.24,15
0.3,1
0.5,114
0.42,409
0.46,299
0.62,968
0.16,223
0.36,93
0.62,12
0.7,634
0.24,157
0.54,59
0.26,90
0.34,509
0.24,1
0.44,144
0.32,147
0.6,9
0.24,42
0.36,126
0.7,13
0.26,7
0.26,23
0.7,130
0.66,162
0.6,332
0.64,207
0.64,530
0.5,155
0.42,21
0.64,270
0.66,11
0.24,46
0.18,16
0.36,207
0.74,440
0.72,170
0.4,79
0.34,6
0.12,4
0.74,229
0.78,111
0.38,232
0.64,341
0.26,4
0.58,179
0.36,249
0.36,170
0.54,632
0.52,22
0.3,89
0.7,626
0.68,152
0.8,582
0.68,172
0.66,17
0.12,83
0.32,10
0.32,263
0.6,273
0.58,255
0.78,367
0.74,204
0.82,480
0.58,892
0.82,147
0.64,26
0.52,130
0.34,181
0.58,365
0.24,52
0.32,32
0.68,370
0.3,36
0.4,157
0.7,153
0.3,90
0.54,164
0.18,91
0.26,101
0.38,268
0.42,25
0.5,103
0.34,86
0.52,567
0.5,100
0.24,161
0.7,255
0.7,412
0.2,123
0.26,163
0.46,25
0.4,114
0.72,367
0.72,294
0.32,316
0.52,27
0.3,4
0.14,94
0.5,303
0.6,195
0.46,95
0.4,16
0.66,403
0.54,28
0.34,5
0.42,26
0.18,64
0.26,9
0.28,70
0.6,276
0.46,11
0.8,253
0.7,488
0.26,49
0.8,274
0.6,283
0.18,9
0.28,205
0.4,431
0.3,1
0.52,387
0.54,69
0.68,154
0.68,6
0.54,14
0.3,214
0.76,258
0.68,291
0.24,119
0.24,176
0.38,93
0.58,190
0.66,683
0.7,229
0.16,1
0.54,471
0.44,69
0.92,155
0.56,465
0.42,33
0.68,52
0.24,17
0.68,678
0.32,267
0.44,46
0.3,45
0.52,37
0.22,33
