temp,cnt
0.82,452
0.6,60
0.62,50
0.52,405
0.62,679
0.26,2
0.3,94
0.24,692
0.4,86
0.78,395
0.7,37
0.6,8
0.62,14
0.62,546
0.28,9
0.52,5
0.6,344
0.38,173
0.7,243
0.24,90
0.42,14
0.34,138
0.72,319
0.4,81
0.46,291
0.38,62
0.28,37
0.64,209
0.58,374
0.36,87
0.62,58
0.18,41
0.34,82
0.64,6
0.26,37
0.64,166
0.34,14
0.74,171
0.76,5
0.7,421
0.44,205
0.22,36
0.34,417
0.82,333
0.68,291
0.76,149
0.38,77
0.48,264
0.6,719
0.5,210
0.1,3
0.34,79
0.68,123
0.5,196
0.7,35
0.78,217
0.5,266
0.7,353
0.72,299
0.62,56
0.5,153
0.74,143
0.52,190
0.44,83
0.74,499
0.2,388
0.32,120
0.56,20
0.72,291
0.54,106
0.16,39
0.3,646
0.56,126
0.68,43
0.64,2
0.42,17
0.42,78
0.38,207
0.36,38
0.66,887
0.36,84
0.7,690
0.56,41
0.38,5
0.54,294
0.8,303
0.46,406
0.24,66
0.72,13
0.28,2
0.68,116
0.4,3
0.44,339
0.74,355
0.56,723
0.6,225
0.72,356
0.56,194
0.72,373
0.66,44
0.5,28
0.64,263
0.82,185
0.26,133
0.32,2
0.24,61
0.14,220
0.4,158
0.64,13
0.36,276
0.44,134
0.58,650
0.54,163
0.38,281
0.76,566
0.54,93
0.86,777
0.78,343
0.56,177
0.46,6
0.28,142
0.28,49
0.62,539
0.62,357
0.26,90
0.34,49
0.76,46
0.54,182
0.38,243
0.46,630
0.72,219
0.48,293
0.54,196
0.44,215
0.46,168
0.24,123
0.36,87
0.32,508
0.7,30
0.14,1
0.66,179
0.2,41
0.2,210
0.64,421
0.46,10
0.34,2
0.56,303
0.72,226
0.42,217
0.66,117
0.4,580
0.7,55
0.46,452
0.26,27
0.22,8
0.72,407
0.44,133
0.4,189
0.76,527
0.8,236
0.36,235
0.42,63
0.8,375
0.44,229
0.32,138
0.32,91
0.32,241
0.6,760
0.64,20
0.78,98
0.16,92
0.48,26
0.6,24
0.2,42
0.74,317
0.24,16
0.26,133
0.34,249
0.74,202
0.48,487
0.2,4
0.6,10
0.72,270
0.58,383
0.12,96
0.6,665
0.4,222
0.82,384
0.44,6
0.48,88
0.54,522
0.54,106
0.56,15
0.34,45
0.32,583
0.32,365
0.56,157
0.64,32
0.88,404
0.26,214
0.7,564
0.7,330
0.4,163
0.48,316
0.42,407
0.72,263
0.96,306
0.54,54
0.6,13
0.56,191
0.8,303
0.74,396
0.3,95
0.42,158
0.7,381
0.64,312
0.2,2
0.22,225
0.72,214
0.82,112
0.64,635
0.34,5
0.86,304
0.26,97
0.5,166
0.86,198
0.66,155
0.22,66
0.76,812
0.74,223
0.4,185
0.4,314
0.52,109
0.16,85
0.54,333
0.68,150
0.54,318
0.32,270
0.4,117
0.46,620
0.78,176
0.48,616
0.6,144
0.36,71
0.26,85
0.36,407
0.56,251
0.8,289
0.62,362
0.28,106
0.68,499
0.6,257
0.24,139
0.26,28
0.72,145
0.46,6
0.42,189
0.34,111
0.34,132
0.4,315
0.86,161
0.5,235
0.72,536
0.66,423
0.74,431
0.34,115
0.6,297
0.62,38
0.32,45
0.56,134
0.44,99
0.4,6
0.36,127
0.6,185
0.58,14
0.46,170
0.54,26
0.18,5
0.6,48
0.54,319
0.3,35
0.74,633
0.56,122
0.66,281
0.44,531
0.66,60
0.7,237
0.7,323
0.26,182
0.84,127
0.24,45
0.52,5
0.38,181
0.36,70
0.64,16
0.26,68
0.54,102
0.32,15
0.98,539
0.62,20
0.78,200
0.72,267
0.64,135
0.68,36
0.74,296
0.22,89
0.4,57
0.48,198
0.76,516
0.6,153
0.3,37
0.4,413
0.34,2
0.74,282
0.8,198
0.36,326
0.32,5
0.18,191
0.64,181
0.74,280
0.76,363
0.42,184
0.48,225
0.14,202
0.44,71
0.26,5
0.42,39
0.7,173
0.38,56
0.6,186
0.28,1
0.68,232
0.54,189
0.1,53
0.74,209
0.32,153
0.34,15
0.34,51
0.66,2
0.34,8
0.4,410
0.2,225
0.24,47
0.76,513
0.5,13
0.76,255
0.2,49
0.78,814
0.56,175
0.4,85
0.64,157
0.54,207
0.28,565
0.4,4
0.7,131
0.14,126
0.76,306
0.54,176
0.32,90
0.66,115
0.66,464
0.74,743
0.56,392
0.54,452
0.5,190
0.16,66
0.16,70
0.28,244
0.36,354
0.56,168
0.2,3
0.92,362
0.36,100
0.3,266
0.54,169
0.6,272
0.2,90
0.3,3
0.6,144
0.26,10
0.5,181
0.32,20
0.48,5
0.44,341
0.34,30
0.4,79
0.32,4
0.6,2
0.8,298
0.64,150
0.44,400
0.56,83
0.4,311
0.42,460
0.56,714
0.44,9
0.36,106
0.28,202
0.14,106
0.3,270
0.3,288
0.4,120
0.76,579
0.56,68
0.36,102
0.7,704
0.3,6
0.24,100
0.74,188
0.8,492
0.7,363
0.76,268
0.52,100
0.64,28
0.72,29
0.3,4
0.64,23
0.82,211
0.5,332
0.66,19
0.46,18
0.62,11
0.6,232
0.66,622
0.42,65
0.72,4
0.16,47
0.6,326
0.26,75
0.72,37
0.74,42
0.74,166
0.34,286
0.44,7
0.38,190
0.64,167
0.8,374
0.52,86
0.68,181
0.8,354
0.56,137
0.52,356
0.44,121
0.46,219
0.22,60
0.8,246
0.68,284
0.52,175
0.5,195
0.38,221
0.74,662
0.44,21
0.4,264
0.38,9
0.3,89
0.8,800
0.36,131
0.54,664
0.36,273
0.28,66
0.26,154
0.46,215
0.66,560
0.4,3
0.28,114
0.52,40
0.56,102
0.76,229
0.7,26
0.44,6
0.78,596
0.54,156
0.7,5
0.14,64
0.44,238
0.48,162
0.86,242
0.7,18
0.28,129
0.46,292
0.36,209
0.14,188
0.7,390
0.76,227
0.62,377
0.68,88
0.34,72
0.62,136
0.5,387
0.28,138
0.1,63
0.42,6
0.52,57
0.64,20
0.7,317
0.26,46
0.6,457
0.34,182
0.6,210
0.66,207
0.76,198
0.4,118
0.66,193
0.36,327
0.22,80
0.36,164
0.64,134
0.58,211
0.66,293
0.72,238
0.48,299
0.08,2
0.26,71
0.78,522
0.4,262
0.82,78
0.22,39
0.84,532
0.38,10
0.76,290
0.38,38
0.44,8
0.44,267
0.72,421
0.24,21
0.52,6
0.2,3
0.64,425
0.24,23
0.18,3
0.18,44
0.26,11
0.6,13
0.1,195
0.34,9
0.66,291
0.72,429
0.64,85
0.5,113
0.3,527
0.3,228
0.3,251
0.56,212
0.5,350
0.52,20
0.34,208
0.36,446
0.36,213
0.32,112
0.6,10
0.8,444
0.92,244
0.46,5
0.22,43
0.26,1
0.32,64
0.24,445
0.32,32
0.6,5
0.38,201
0.42,154
0.56,97
0.68,63
0.48,535
0.46,91
0.52,82
0.16,165
0.66,505
0.34,47
0.34,95
0.7,145
0.26,106
0.74,812
0.16,354
0.94,245
0.54,291
0.58,31
0.24,37
0.46,66
0.26,341
0.3,110
0.42,106
0.36,88
0.76,233
0.28,190
0.72,7
0.72,253
0.34,327
0.64,172
0.4,223
0.26,28
0.36,67
0.28,15
0.74,159
0.4,78
0.22,17
0.3,348
0.68,70
0.72,269
0.34,37
0.4,228
0.54,516
0.64,583
0.18,86
0.54,50
0.72,457
0.8,360
0.4,276
0.52,164
0.7,383
0.38,338
0.14,4
0.38,23
0.42,440
0.2,82
0.62,220
0.24,4
0.52,52
0.52,8
0.5,147
0.7,363
0.4,6
0.64,162
0.8,585
0.52,98
0.34,12
0.72,18
0.38,191
0.44,5
0.24,41
0.36,79
0.2,51
0.66,101
0.26,2
0.34,379
0.9,294
0.26,30
0.54,337
0.24,152
0.26,124
0.54,10
0.14,57
0.38,203
0.82,671
0.58,177
0.18,69
