temp,cnt
0.62,95
0.32,95
0.22,2
0.7,253
0.8,369
0.5,5
0.16,56
0.56,347
0.52,128
0.66,82
0.8,478
0.32,47
0.14,26
0.48,74
0.56,233
0.34,86
0.74,6
0.32,207
0.3,126
0.38,106
0.64,53
0.58,189
0.2,59
0.56,62
0.46,117
0.68,119
0.22,33
0.58,476
0.94,367
0.62,210
0.4,413
0.22,41
0.22,20
0.4,151
0.18,39
0.36,10
0.22,84
0.22,31
0.62,96
0.8,205
0.62,11
0.56,54
0.54,471
0.22,57
0.24,3
0.36,326
0.76,274
0.14,87
0.28,49
0.7,29
0.64,19
0.22,105
0.56,237
0.58,175
0.16,3
0.38,403
0.62,17
0.5,61
0.58,170
0.52,206
0.4,30
0.42,283
0.7,134
0.34,7
0.52,428
0.84,202
0.66,167
0.46,6
0.74,38
0.7,264
0.7,109
0.62,174
0.8,529
0.64,315
0.9,150
0.7,482
0.32,252
0.3,118
0.34,71
0.34,132
0.7,281
0.4,360
0.4,572
0.42,11
0.46,24
0.44,179
0.28,32
0.34,80
0.26,109
0.48,353
0.2,58
0.58,479
0.7,18
0.66,4
0.52,28
0.74,500
0.68,39
0.4,236
0.72,332
0.3,87
0.24,9
0.34,114
0.78,356
0.4,150
0.62,98
0.36,68
0.72,311
0.22,375
0.34,44
0.22,8
0.64,14
0.76,487
0.64,5
0.44,469
0.52,8
0.54,107
0.26,24
0.82,281
0.32,75
0.64,118
0.56,788
0.78,270
0.26,42
0.36,74
0.5,260
0.62,112
0.34,174
0.68,424
0.52,202
0.34,198
0.36,354
0.46,190
0.54,638
0.72,148
0.74,227
0.2,64
0.54,9
0.7,474
0.4,3
0.64,26
0.2,53
0.6,167
0.4,135
0.32,128
0.74,340
0.34,265
0.34,8
0.5,306
0.3,103
0.76,34
0.64,179
0.08,18
0.7,28
0.26,191
0.16,2
0.78,287
0.6,2
0.54,101
0.24,163
0.74,204
0.74,204
0.22,43
0.66,102
0.5,82
0.38,103
0.72,6
0.46,21
0.42,119
0.7,13
0.72,184
0.62,28
0.52,219
0.62,369
0.16,6
0.56,5
0.3,65
0.26,16
0.78,872
0.26,214
0.4,229
0.5,331
0.68,248
0.4,102
0.46,81
0.66,27
0.3,1
0.74,88
0.62,224
0.32,19
0.14,55
0.8,186
0.36,259
0.34,89
0.52,75
0.2,10
0.68,6
0.58,392
0.52,174
0.3,3
0.64,554
0.46,64
0.78,609
0.24,95
0.64,455
0.36,276
0.76,255
0.66,155
0.76,218
0.04,12
0.62,142
0.76,184
0.36,257
0.26,12
0.34,62
0.22,43
0.16,37
0.38,53
0.76,394
0.46,106
0.8,298
0.72,274
0.26,90
0.78,229
0.46,360
0.74,202
0.42,170
0.2,32
0.26,13
0.72,84
0.24,94
0.24,86
0.54,333
0.32,146
0.26,99
0.58,176
0.56,2
0.26,133
0.42,221
0.36,303
0.36,197
0.76,827
0.74,448
0.22,32
0.62,374
0.62,20
0.46,263
0.72,367
0.7,6
0.7,134
0.26,25
0.54,196
0.38,40
0.3,163
0.4,4
0.14,12
0.52,681
0.58,62
0.24,168
0.6,37
0.52,218
0.62,157
0.24,119
0.74,343
0.38,280
0.72,288
0.72,233
0.64,42
0.5,303
0.3,2
0.14,81
0.42,290
0.54,227
0.52,358
0.74,326
0.76,363
0.4,311
0.34,28
0.6,188
0.16,92
0.5,225
0.6,223
0.5,116
0.6,130
0.66,232
0.4,230
0.58,157
0.52,416
0.64,39
0.44,86
0.76,566
0.44,253
0.66,160
0.64,41
0.4,118
0.18,16
0.8,491
0.3,6
0.82,374
0.62,13
0.36,136
0.84,195
0.42,10
0.52,440
0.18,4
0.54,156
0.72,586
0.22,97
0.82,558
0.58,898
0.52,14
0.32,167
0.36,327
0.4,13
0.78,79
0.74,798
0.62,73
0.72,101
0.38,294
0.7,219
0.26,151
0.64,285
0.42,450
0.46,256
0.62,8
0.62,105
0.6,294
0.42,230
0.42,35
0.74,198
0.18,53
0.82,240
0.22,134
0.64,36
0.16,42
0.76,466
0.76,327
0.26,33
0.6,136
0.4,16
0.62,265
0.72,267
0.18,2
0.62,4
0.44,33
0.54,610
0.48,142
0.4,372
0.42,147
0.72,229
0.46,108
0.56,308
0.46,108
0.72,12
0.74,132
0.4,80
0.54,210
0.42,25
0.62,11
0.28,91
0.72,263
0.62,11
0.86,127
0.76,153
0.72,356
0.36,52
0.52,6
0.46,579
0.74,291
0.52,35
0.58,112
0.62,686
0.68,521
0.64,193
0.7,33
0.62,20
0.4,235
0.68,331
0.24,11
0.44,18
0.76,493
0.36,100
0.22,58
0.74,452
0.34,563
0.6,323
0.28,255
0.7,150
0.52,22
0.54,22
0.3,24
0.64,218
0.28,10
0.36,13
0.46,47
0.24,228
0.72,275
0.42,112
0.86,492
0.64,184
0.74,483
0.22,4
0.26,10
0.66,179
0.26,87
0.8,308
0.58,67
0.74,260
0.62,243
0.54,147
0.38,90
0.36,6
0.44,5
0.38,208
0.38,417
0.44,134
0.38,36
0.44,50
0.84,455
0.26,71
0.76,481
0.72,133
0.7,424
0.34,33
0.6,732
0.46,37
0.3,37
0.8,303
0.6,148
0.34,72
0.5,158
0.64,195
0.4,422
0.18,277
0.42,18
0.6,10
0.2,75
0.5,312
0.62,27
0.6,276
0.52,130
0.62,470
0.4,7
0.44,10
0.48,310
0.32,97
0.58,54
0.38,44
0.44,83
0.4,326
0.34,160
0.74,87
0.28,372
0.78,317
0.64,619
0.3,62
0.54,361
0.58,308
0.28,530
0.44,662
0.3,10
0.56,209
